time,current,omega,omega_meas,theta,tau_load,V_in
0.1375,10.7523740696883,125.238068413928,124.765879510726,7.58087171634508,0,12
0.138,10.7476216936351,125.712830543669,125.051936282972,7.64349075055205,0,12
0.1385,10.7428740699599,126.187117911081,126.649530877828,7.70634716582388,0,12
0.139,10.7381311939103,126.660930990929,126.660955915466,7.76944072477942,0,12
0.1395,10.7333930607389,127.134270257498,127.106810800194,7.83277119027488,0,12
0.14,10.7286596657025,127.607136184604,128.062699817431,7.89633832540363,0,12
0.1405,10.7239310040632,128.079529245585,128.376821094289,7.96014189349594,0,12
0.141,10.7192070710875,128.551449913308,128.726550500245,8.02418165811873,0,12
0.1415,10.7144878620467,129.022898660166,129.648024274318,8.08845738307538,0,12
0.142,10.7097733722169,129.493875958081,129.958770687359,8.15296883240546,0,12
0.1425,10.705063596879,129.964382278501,130.08426390703,8.2177157703845,0,12
0.143,10.7003585313183,130.434418092404,130.089237540848,8.28269796152376,0,12
0.1435,10.6956581708252,130.903983870297,130.578207049422,8.34791517056996,0,12
0.144,10.6909625106945,131.373080082217,131.969131017482,8.41336716250511,0,12
0.1445,10.6862715462259,131.841707197728,131.035792003389,8.47905370254621,0,12
0.145,10.6815852727237,132.309865685929,132.297634717611,8.54497455614508,0,12
0.1455,10.676903685497,132.777556015446,131.803132426996,8.61112948898804,0,12
0.146,10.6722267798595,133.244778654438,133.755027661664,8.67751826699577,0,12
0.1465,10.6675545511295,133.711534070596,134.142392221793,8.74414065632298,0,12
0.147,10.6628869946303,134.177822731143,134.178403772885,8.81099642335828,0,12
0.1475,10.6582241056895,134.643645102835,134.608226496255,8.87808533472385,0,12
0.148,10.6535658796396,135.109001651961,133.86585969161,8.94540715727527,0,12
0.1485,10.6489123118176,135.573892844344,135.864479005682,9.01296165810125,0,12
0.149,10.6442633975655,136.03831914534,134.942101685357,9.08074860452342,0,12
0.1495,10.6396191322295,136.502281019842,135.34264086652,9.14876776409609,0,12
0.15,10.6349795111608,136.965778932275,137.005745787424,9.21701890460601,0,12
0.1505,10.6303445297151,137.428813346602,136.954572854817,9.28550179407215,0,12
0.151,10.6257141832528,137.891384726322,138.097130037033,9.35421620074545,0,12
0.1515,10.6210884671389,138.353493534469,138.691982437311,9.42316189310861,0,12
0.152,10.616467376743,138.815140233615,139.244006506217,9.49233863987585,0,12
0.1525,10.6118509074394,139.276325285869,138.930745723177,9.56174620999265,0,12
0.153,10.6072390546071,139.737049152878,139.961737964462,9.63138437263559,0,12
0.1535,10.6026318136296,140.197312295828,140.247628970986,9.70125289721203,0,12
0.154,10.5980291798949,140.657115175443,141.070150174678,9.77135155335994,0,12
0.1545,10.5934311487959,141.116458251987,141.38453679195,9.84168011094766,0,12
0.155,10.5888377157299,141.575341985262,142.024286198254,9.91223834007366,0,12
0.1555,10.5842488760989,142.033766834612,141.96779790065,9.98302601106629,0,12
0.156,10.5796646253095,142.491733258922,142.418132530846,10.0540428944836,0,12
0.1565,10.5750849587727,142.949241716616,143.453128419269,10.1252887611131,0,12
0.157,10.5705098719044,143.406292665662,142.344464934454,10.1967633819714,0,12
0.1575,10.5659393601249,143.862886563568,143.610593360811,10.2684665283042,0,12
0.158,10.561373418859,144.319023867385,143.683726642481,10.340397971586,0,12
0.1585,10.5568120435364,144.774705033708,144.583412632354,10.4125574835197,0,12
0.159,10.5522552295909,145.229930518675,145.554270149699,10.4849448360365,0,12
0.1595,10.5477029724613,145.684700777966,146.097564352587,10.5575598012959,0,12
0.16,10.5431552675908,146.139016266809,145.631544445469,10.6304021516848,0,12
0.1605,10.538612110427,146.592877439973,146.357342483632,10.7034716598183,0,12
0.161,10.5340734964222,147.046284751775,147.11479718884,10.7767680985382,0,12
0.1615,10.5295394210334,147.499238656075,147.353306968198,10.8502912409141,0,12
0.162,10.5250098797218,147.951739606282,148.102648883913,10.9240408602422,0,12
0.1625,10.5204848679535,148.40378805535,148.603753526828,10.9980167300453,0,12
0.163,10.5159643811988,148.85538445578,148.39040367631,11.072218624073,0,12
0.1635,10.5114484149327,149.306529259622,149.218114126657,11.1466463163009,0,12
0.164,10.5069369646348,149.757222918471,148.69117561889,11.2212995809307,0,12
0.1645,10.5024300257891,150.207465883473,150.780146738733,11.2961781923899,0,12
0.165,10.4979275938841,150.657258605323,150.342713224826,11.3712819253316,0,12
0.1655,10.4934296644129,151.106601534262,150.504676547261,11.4466105546343,0,12
0.166,10.488936232873,151.555495120086,151.428522778374,11.5221638554014,0,12
0.1665,10.4844472947666,152.003939812136,151.28961637982,11.5979416029615,0,12
0.167,10.4799628456001,152.451936059307,152.441507250456,11.6739435728676,0,12
0.1675,10.4754828808847,152.899484310044,152.619151811779,11.7501695408972,0,12
0.168,10.4710073961358,153.346585012343,154.435474366935,11.8266192830522,0,12
0.1685,10.4665363868736,153.793238613753,154.362471307418,11.9032925755584,0,12
0.169,10.4620698486225,154.239445561375,152.991002309783,11.9801891948653,0,12
0.1695,10.4576077769115,154.685206301864,154.905869767728,12.057308917646,0,12
0.17,10.4531501672741,155.130521281426,154.431452343521,12.1346515207969,0,12
0.1705,10.4486970152482,155.575390945823,155.447863355882,12.2122167814376,0,12
