time,omega,omega_meas,tau_load
0.375,104.178018230798,103.725691201174,0
0.376,98.6856112762871,98.5414830956843,0
0.377,98.966798564829,99.1418299435961,0
0.378,103.090587643893,102.172658072641,0
0.379,103.366807581491,103.884795535613,0
0.38,100.76629789992,101.978528472389,0
0.381,100.014278837731,100.493979092435,0
0.382,105.163984727382,105.006098729877,0
0.383,104.409072016491,104.62338335642,0
0.384,99.9440837011835,99.4260913119268,0
0.385,99.19590071674,100.134833446988,0
0.386,104.345055549363,104.815407751039,0
0.387,103.59396795904,103.987640849008,0
0.388,99.1284264147561,98.6904892837777,0
0.389,99.0349980565981,99.1949726237893,0
0.39,103.532006137455,103.25285899503,0
0.391,103.434361056291,103.278646347017,0
0.392,98.7369614205563,98.4519564622352,0
0.393,99.5576537857321,99.0447869779177,0
0.394,103.141192882509,102.686820089072,0
0.395,103.955839631492,103.850890964465,0
0.396,100.343510608488,99.4940785664021,0
0.397,98.7436286019894,99.0474288899124,0
0.398,104.743736448061,104.684837303427,0
0.399,103.142653979735,103.492234146557,0
0.4,99.526362584737,99.6611869055953,0
0.401,100.75125977715,100.99840330484,0
0.402,103.927032237206,103.185471725948,0
0.403,105.145078965581,104.63494677274,0
0.404,98.7101060615284,98.4866085561562,0
0.405,99.9309336226231,99.9857629182869,0
0.406,103.114044809721,103.678413035735,0
0.407,104.328026776945,104.183045256545,0
0.408,100.271513074397,100.902288433467,0
0.409,99.1147711835403,99.3524835893939,0
0.41,104.67158376399,105.258642139737,0
0.411,103.512755286226,103.576228820247,0
0.412,99.4540562574117,99.1256482929377,0
0.413,98.9955564731042,98.2548569373148,0
0.414,103.856698532166,103.934443030118,0
0.415,103.394713105153,103.803988789413,0
0.416,98.6417337234647,98.4954396580475,0
0.417,99.3421970977195,99.0718038894753,0
0.418,103.046466325197,102.892145417557,0
0.419,103.741124040101,103.192827389338,0
0.42,100.304200130655,100.057695222996,0
0.421,98.5295964678502,98.4392267896427,0
0.422,104.704757933795,104.727678486652,0
0.423,102.929302920513,102.897411360502,0
0.424,99.4877143570729,99.7933819541055,0
0.425,101.223341258433,101.278000105321,0
0.426,103.888027872743,104.795035597883,0
0.427,105.615783206785,105.77179512095,0
0.428,98.6707480059182,99.5729948917803,0
0.429,100.400265109159,100.038704369374,0
0.43,103.074335496791,103.337609015666,0
0.431,104.795989978335,104.665864547482,0
0.432,100.068912886809,100.368984141213,0
0.433,99.5815330955128,99.8784984933372,0
0.434,104.469124615053,103.376113808679,0
0.435,103.978319371611,103.314797796851,0
0.436,99.2517389218362,98.5312321230168,0
0.437,98.7671326745746,98.9680549230945,0
0.438,103.655216572396,104.39031721282,0
0.439,103.167176059978,103.003768945585,0
0.44,98.441083746619,98.8472452489394,0
0.441,99.8424866668465,100.11525671861,0
0.442,102.845918008712,102.320101853952,0
0.443,104.240113288837,104.438846786735,0
0.444,100.762241546873,100.386294177532,0
0.445,99.0266307074239,99.7847641557469,0
0.446,105.160928191524,105.144644936927,0
0.447,103.42438988711,104.242389715749,0
0.448,99.9420210170628,99.7294917717578,0
0.449,98.7987706383283,99.0934873216874,0
0.45,104.343396183373,104.312000570514,0
0.451,103.19803093023,102.187051465204,0
0.452,99.1271679638929,98.6361022010034,0
0.453,99.5837609029555,99.890016552039,0
0.454,103.530202699098,103.502759634104,0
0.455,103.981479417548,103.422113416321,0
0.456,98.3156306115835,98.0024413421499,0
0.457,98.7712193486833,98.8959782189647,0
0.458,102.7219125004,102.225402997125,0
0.459,103.172183778137,103.659658890543,0
0.46,100.915698386823,100.59534363346,0
0.461,99.4338392970502,100.33827060731,0
0.462,105.313517452365,104.773584326996,0
0.463,103.830224261707,103.929818983744,0
0.464,100.093746675747,99.333233394862,0
0.465,98.6186398422459,98.2568242796013,0
0.466,104.494846795877,104.198221638372,0
0.467,103.018289075923,103.218957245833,0
0.468,99.2783439664135,99.7494106260319,0
0.469,100.087012026324,100.237255010121,0
0.47,103.680421922488,103.493886593172,0
0.471,104.483070568322,104.890814822368,0
0.472,98.4648975861521,98.8643410822305,0
0.473,99.271156459031,99.3312591000092,0
0.474,102.870231736935,103.155855551792,0
0.475,103.670472757917,103.876870763073,0
0.476,100.086378783061,99.5928978413853,0
0.477,98.4593749608602,98.8391591238176,0
0.478,104.487660271751,104.159059622202,0
0.479,102.859509175706,102.557549935018,0
0.48,99.27133778176,99.3598111929247,0
0.481,100.560789008538,100.407037273607,0
0.482,103.672962979406,103.607052802948,0
0.483,104.955433678533,105.253112515475,0
0.484,98.4569886567894,98.980405048942,0
0.485,99.7421103888406,99.6431310725347,0
0.486,102.86187558043,103.025714662384,0
0.487,104.140022182094,104.020871429799,0
0.488,99.9764409965195,100.09123944313,0
0.489,98.9276256745509,99.1476246269622,0
0.49,104.377584047855,104.069151083411,0
0.491,103.326465213479,103.463883606935,0
0.492,99.1611248304984,99.4616758467325,0
0.493,98.4312746142269,98.4774285898464,0
0.494,103.565210181393,104.430130877179,0
0.495,102.832415580203,102.528136857834,0
0.496,98.3516821352682,97.9831522494193,0
0.497,100.338032063546,99.4630924103526,0
0.498,102.756289056799,103.211530346622,0
0.499,104.734261678299,105.167802954773,0
0.5,100.306818765189,100.26687234566,0
0.501,99.5197520744989,99.9689900691874,0
0.502,104.706378556819,104.798230268364,0
0.503,103.916486439719,104.061881507161,0
0.504,99.4883429347086,99.5448152932191,0
0.505,98.7052486374647,98.9252247319009,0
0.506,103.891172657267,103.942003879117,0
0.507,103.105241718895,104.498909332802,0
0.508,98.6763938975763,98.093061382479,0
0.509,99.0527008851327,98.1255513437878,0
0.51,103.081312014998,102.510971442664,0
0.511,103.452461470462,102.905789742342,0
0.512,98.6541571474569,98.4373524992195,0
0.513,98.2434499289035,98.1592149897657,0
0.514,103.059951226086,102.950684446072,0
0.515,102.645659627891,102.91632684575,0
0.516,98.6275819728569,98.8222150747785,0
0.517,100.786632011345,101.162246503689,0
0.518,103.030912594927,103.920040544572,0
0.519,105.181241202716,105.792772478583,0
0.52,98.9476022410999,98.3059741887975,0
0.521,99.9667498768668,98.8022726187252,0
0.522,103.3507926845,103.801758417976,0
0.523,104.363498834552,103.445679492684,0
0.524,98.1363768076117,98.1697552633301,0
0.525,99.1522719612405,99.1700117041593,0
0.526,102.542815405228,103.656399444312,0
0.527,103.552272329952,103.51766520294,0
0.528,100.672044484161,100.418382951853,0
0.529,98.3409434684775,98.4588483047656,0
0.53,105.07168740724,105.194589833187,0
0.531,102.740848950665,102.775871555373,0
0.532,99.8537314960673,99.5494412410274,0
0.533,100.351374966261,99.7400782761672,0
0.534,104.253818926613,104.412069107012,0
0.535,104.746067022435,104.074632404124,0
0.536,99.0363114028106,98.5202192307745,0
0.537,99.532792509965,100.198400452497,0
0.538,103.439669676092,103.230218078577,0
